,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,1
description,792
neighborhood_overview,6175
picture_url,0
host_id,0
host_url,0
host_name,0
host_since,0
host_location,3145
host_about,7729
host_response_time,2719
host_response_rate,2719
host_acceptance_rate,1670
host_is_superhost,5
host_thumbnail_url,0
host_picture_url,0
host_neighbourhood,9108
host_listings_count,0
host_total_listings_count,0
host_verifications,0
host_has_profile_pic,0
host_identity_verified,0
neighbourhood,6175
neighbourhood_cleansed,0
neighbourhood_group_cleansed,18554
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,18554
bathrooms_text,30
bedrooms,482
beds,268
amenities,0
price,0
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,1
maximum_minimum_nights,1
minimum_maximum_nights,1
maximum_maximum_nights,1
minimum_nights_avg_ntm,1
maximum_nights_avg_ntm,1
calendar_updated,18554
has_availability,0
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
first_review,1901
last_review,1901
review_scores_rating,1901
review_scores_accuracy,1957
review_scores_cleanliness,1956
review_scores_checkin,1957
review_scores_communication,1957
review_scores_location,1958
review_scores_value,1959
license,18554
instant_bookable,1
calculated_host_listings_count,1
calculated_host_listings_count_entire_homes,1
calculated_host_listings_count_private_rooms,1
calculated_host_listings_count_shared_rooms,1
reviews_per_month,1902
